,all_日均收益率R,top_日均收益率R,bottom_日均收益率R,all_日均波动率Vol,top_日均波动率Vol,bottom_日均波动率Vol,all_年化收益率ER,top_年化收益率ER,bottom_年化收益率ER,all_年化波动率VOL,top_年化波动率VOL,bottom_年化波动率VOL,all_信息比率IR,top_信息比率IR,bottom_信息比率IR,all_夏普比率SR,top_夏普比率SR,bottom_夏普比率SR,all_下行偏差DD,top_下行偏差DD,bottom_下行偏差DD,all_胜率VE,top_胜率VE,bottom_胜率VE,all_盈亏比PnL,top_盈亏比PnL,bottom_盈亏比PnL,all_最大回撤MDD,top_最大回撤MDD,bottom_最大回撤MDD,all_卡玛比率Calmar,top_卡玛比率Calmar,bottom_卡玛比率Calmar,all_索提诺比率Sortino,top_索提诺比率Sortino,bottom_索提诺比率Sortino,all_换手率Tov,top_换手率Tov,bottom_换手率Tov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126c31,0.000482273,0.000373506,7.89E-05,0.005944965,0.003662334,0.003504206,0.121532849,0.094123531,0.019891034,0.094373386,0.058137746,0.05562755,0.081122976,0.101985811,0.022525123,1.287787318,1.618974563,0.357575236,0.010038222,0.004925186,0.006026186,0.45745943,0.45846694,0.457534697,1.287608942,1.309482427,1.253712092,0.080628522,0.051387137,0.089313195,1.507318334,1.831655481,0.222711037,12.10700965,19.11065345,3.300766566,0.175873574,0.092771123,0.088257091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252c31,0.000753231,0.000453787,0.000314866,0.004428783,0.002897434,0.003146486,0.189814236,0.114354215,0.079346243,0.07030475,0.04599534,0.049948924,0.170076318,0.1566167,0.100069092,2.699877848,2.486213034,1.58854759,0.00828033,0.004529157,0.005261502,0.458767416,0.457202816,0.458889544,1.328672434,1.326004373,1.305837745,0.044259572,0.023327288,0.037126621,4.288659599,4.902165027,2.137179207,22.92351014,25.24845237,15.08053159,0.108330687,0.058062459,0.055422867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day22c35,-9.79E-05,-0.000174676,7.41E-05,0.008412005,0.004460435,0.004732611,-0.02468254,-0.044018436,0.0186752,0.133536435,0.070807205,0.075127873,-0.011643668,-0.039161281,0.015658995,-0.184837494,-0.621666059,0.248578842,0.013742532,0.007408785,0.006904364,0.457713767,0.456168758,0.459548446,1.237965964,1.22133048,1.258435307,0.247485342,0.135975537,0.133304799,-0.099733341,-0.3237232,0.140093978,-1.796069306,-5.941384143,2.704839957,0.951793518,0.478938968,0.47800919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60c35,0.000328737,4.59E-05,0.000274836,0.006981517,0.003785515,0.003631246,0.082841717,0.011566377,0.069258581,0.110828139,0.060093195,0.057644244,0.047086757,0.012124722,0.075686316,0.7474791,0.192473996,1.201483024,0.012382732,0.006069594,0.006366092,0.457775063,0.456950438,0.459482526,1.267939632,1.250741795,1.282753435,0.129984428,0.075023257,0.064935452,0.637320321,0.154170557,1.066575785,6.69010022,1.905626156,10.87929329,0.418983856,0.215042349,0.209096147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126c35,0.000408928,0.000219526,0.000182149,0.006278264,0.003429982,0.0034018,0.10304997,0.055320469,0.045901656,0.099664349,0.054449269,0.054001901,0.065134002,0.064001998,0.053545013,1.033970229,1.016000215,0.850000737,0.010768335,0.005022387,0.006145241,0.457828248,0.45833577,0.45663386,1.269494292,1.274603183,1.271805428,0.097732143,0.051374159,0.050379886,1.054412259,1.076815084,0.911110744,9.569721691,11.014776,7.469463709,0.247694886,0.128676322,0.124173203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252c35,0.000823124,0.000457199,0.000386356,0.004920536,0.002775765,0.003074905,0.207427131,0.115214069,0.097361599,0.078111083,0.044063902,0.048812607,0.167283316,0.164710881,0.125647954,2.655540314,2.614704183,1.994599427,0.008113836,0.004648993,0.004821014,0.458520255,0.458617825,0.458012144,1.323257131,1.328507804,1.312556516,0.048900058,0.030678854,0.035768364,4.241858562,3.755487978,2.722003137,25.56462031,24.78258771,20.19525324,0.155104975,0.081612963,0.078646652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60change_quant.3-.7,0.000461601,5.96E-05,0.000394967,0.005323327,0.003919349,0.002920468,0.116323465,0.015026485,0.099531769,0.084505202,0.062217729,0.046360994,0.086712881,0.015213984,0.135241106,1.376524314,0.241514511,2.146886003,0.010284883,0.007284483,0.004877671,0.457830516,0.456118786,0.45893765,1.27642108,1.229898995,1.367897936,0.077784964,0.082143529,0.037716506,1.495449245,0.182929621,2.638944564,11.31013942,2.062807313,20.40559476,0.348846632,0.202274187,0.151727084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126change_quant.3-.7,0.0005105,0.000100479,0.000398716,0.004460605,0.003891482,0.002860736,0.12864605,0.02532083,0.100476534,0.070809912,0.061775366,0.045412774,0.114446399,0.025820363,0.139375468,1.816780255,0.409885556,2.212516966,0.008121031,0.007189894,0.004745427,0.458315702,0.45807745,0.457494685,1.293377764,1.223767475,1.376941794,0.050041891,0.070797119,0.039201122,2.570767175,0.3576534,2.563103556,15.84109886,3.521725335,21.17333768,0.20812737,0.122403112,0.090878897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252change_quant.3-.7,0.000427977,0.000288008,0.000419732,0.00300236,0.003633894,0.002849262,0.107850298,0.07257802,0.105772558,0.047660987,0.057686276,0.04523063,0.142546988,0.079256035,0.147312668,2.26286329,1.258150556,2.338516114,0.004886465,0.006610013,0.00436246,0.45708379,0.459558943,0.457422687,1.316662017,1.260553644,1.383720122,0.03923744,0.046551634,0.03370655,2.748657859,1.559086435,3.138041686,22.07123091,10.98001221,24.24608314,0.127325533,0.076168442,0.05631173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60change_quant.2-.8,0.000435658,1.03E-05,0.000411405,0.005001791,0.00395995,0.003098682,0.10978583,0.002583514,0.103674003,0.079400974,0.062862256,0.049190049,0.087100408,0.002588932,0.132767672,1.382676114,0.04109802,2.10762145,0.009601816,0.007123696,0.005128786,0.457864161,0.45525555,0.459610481,1.274021435,1.222732024,1.383094628,0.060991432,0.091027244,0.041148219,1.800020527,0.028381769,2.519525898,11.43386095,0.362664875,20.21414165,0.253698343,0.15054445,0.108308532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126change_quant.2-.8,0.000429887,5.30E-05,0.000415714,0.00386312,0.003927863,0.002955711,0.108331491,0.013367,0.104759864,0.061325131,0.062352898,0.046920463,0.111279705,0.013504454,0.140647612,1.766510546,0.214376568,2.232711617,0.006858607,0.007195359,0.004912041,0.457480084,0.455756614,0.45928318,1.290684607,1.224673805,1.382737274,0.047699064,0.073911928,0.040759111,2.271145027,0.180850381,2.570219557,15.79497089,1.857725351,21.32715713,0.147536976,0.089150136,0.063541478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252change_quant.2-.8,0.00041364,0.00026704,0.000432664,0.002735308,0.003585077,0.002956063,0.104237243,0.067294125,0.10903129,0.043421663,0.056911334,0.04692605,0.151222423,0.074486594,0.146364881,2.400581549,1.182438022,2.323470455,0.004297641,0.006357948,0.00452054,0.456359332,0.458007773,0.458723419,1.331171032,1.261496996,1.387394451,0.039898086,0.050179088,0.033576441,2.612587526,1.341079092,3.247255706,24.25452638,10.58425248,24.11908455,0.091192747,0.056361773,0.039985614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60change_quant.3-.7median,0.000480533,8.81E-05,0.000368796,0.00558367,0.003814844,0.002854043,0.121094335,0.022211585,0.092936632,0.088638008,0.060558771,0.045306532,0.086060442,0.0231048,0.129218841,1.366167158,0.366777331,2.051285514,0.011085047,0.00729174,0.004813346,0.458057609,0.456846977,0.45841548,1.276494311,1.234284442,1.347369149,0.081440636,0.075133638,0.036033047,1.486903118,0.295627701,2.579205506,10.92411525,3.046129421,19.30811181,0.387080421,0.226550959,0.165684101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126change_quant.3-.7median,0.000555463,0.00013548,0.000401535,0.004901126,0.003847429,0.002753707,0.139976668,0.03414101,0.101186765,0.07780297,0.061076042,0.043713744,0.113333735,0.035213176,0.145816085,1.799117269,0.558991846,2.314758583,0.00930583,0.007210767,0.004514644,0.458319018,0.457545528,0.458012183,1.293779272,1.235994484,1.364699677,0.054595231,0.061212604,0.035324441,2.563899166,0.557744769,2.864497309,15.04182521,4.734726272,22.41301035,0.240365641,0.140747259,0.104773022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252change_quant.3-.7median,0.000517614,0.000297607,0.000426376,0.003406683,0.003611749,0.002757071,0.130438807,0.074996971,0.107446782,0.05407941,0.057334743,0.043767139,0.151940867,0.08239969,0.154648241,2.411986487,1.308054529,2.454964723,0.005663752,0.006648345,0.004142003,0.458113929,0.458840072,0.458074074,1.319040006,1.267683666,1.374964088,0.043151857,0.04759385,0.03182751,3.022785489,1.575770207,3.375909138,23.03045803,11.28054815,25.94077686,0.152041135,0.090213307,0.066982466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60change_quant.2-.8median,0.000466898,4.60E-05,0.000397326,0.005252035,0.003901884,0.003042815,0.117658186,0.011586426,0.100126192,0.083373467,0.061940482,0.048303199,0.088898415,0.011783509,0.13057846,1.411218586,0.187057412,2.072868786,0.010458036,0.00704926,0.005154734,0.458032437,0.455229773,0.459639872,1.276855287,1.232008723,1.368431759,0.070641247,0.076720861,0.039349369,1.665573456,0.151020547,2.544543771,11.25050472,1.643637159,19.4241234,0.295634122,0.174988902,0.125799859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126change_quant.2-.8median,0.000484093,8.56E-05,0.000414596,0.004186931,0.003821104,0.002900566,0.121991448,0.021583602,0.104478237,0.066465466,0.060658142,0.046045053,0.115620025,0.022414784,0.142936316,1.835411002,0.355823661,2.269043672,0.007486377,0.0068348,0.004832505,0.45794541,0.456880996,0.458454795,1.292007514,1.22807197,1.379761058,0.046271657,0.061239151,0.038802882,2.63641839,0.352447769,2.692538078,16.29512449,3.157898353,21.61989057,0.175042627,0.104995189,0.075202077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252change_quant.2-.8median,0.000441744,0.000275987,0.000430965,0.002887944,0.003482194,0.002898667,0.111319426,0.069548765,0.108603286,0.04584469,0.05527811,0.046014911,0.152961328,0.079256697,0.14867711,2.428185804,1.258161061,2.360175957,0.004537884,0.006078042,0.004427719,0.456978182,0.458812543,0.458095789,1.325808258,1.260395136,1.385686199,0.037258643,0.047954898,0.032648105,2.987747739,1.45029533,3.326480508,24.53113006,11.4426273,24.52804137,0.10916905,0.066587966,0.047735723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60change_quant.3-.7std,0.000485056,7.04E-05,0.000386966,0.005367117,0.003940802,0.002982319,0.122234172,0.017737923,0.097515328,0.085200342,0.062558296,0.047342849,0.090375566,0.017861486,0.129753245,1.434667633,0.283542299,2.059768908,0.010510266,0.007332104,0.005066906,0.457942451,0.455956571,0.458987015,1.278377655,1.232309447,1.365338983,0.073666823,0.076682134,0.038226791,1.65928388,0.231317546,2.550968169,11.62997861,2.419213413,19.2455382,0.38178727,0.217459937,0.169481972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126change_quant.3-.7std,0.000538517,0.00010106,0.000393983,0.004412083,0.003805742,0.002919735,0.135706387,0.025467119,0.099283755,0.070039647,0.060414281,0.04634936,0.122055139,0.026554611,0.134937972,1.937565257,0.421541379,2.142073905,0.008190212,0.006974917,0.004869373,0.458438624,0.457053519,0.458269351,1.296894316,1.228065701,1.373523756,0.046559797,0.066802079,0.040743834,2.914668758,0.381232441,2.436779881,16.5693373,3.651243581,20.3894345,0.222032988,0.129430598,0.097757029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252change_quant.3-.7std,0.00047206,0.000282111,0.000423645,0.002973534,0.003531466,0.002901038,0.118959233,0.071091937,0.106758537,0.047203388,0.056060279,0.046052553,0.158754013,0.079884923,0.146032202,2.520141823,1.268133841,2.318189341,0.0047276,0.006411179,0.004485642,0.457495752,0.458179324,0.458479864,1.324009316,1.264508982,1.380788635,0.035767278,0.043907693,0.034488633,3.325923607,1.619122601,3.095470221,25.16271135,11.0887456,23.80005778,0.133919088,0.079303055,0.059770672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60change_quant.2-.8std,0.00044987,2.26E-05,0.00041525,0.005025921,0.003903244,0.003102333,0.113367208,0.005701298,0.104642879,0.079784019,0.061962085,0.049248017,0.089509941,0.005796255,0.133850705,1.420926264,0.092012691,2.124814062,0.009487764,0.0071321,0.00510353,0.458161277,0.455144894,0.459507131,1.273922605,1.225695186,1.386393785,0.065298412,0.088240007,0.040903871,1.736140349,0.064611262,2.558263439,11.94877985,0.799385637,20.50402119,0.270003585,0.158303812,0.116854412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126change_quant.2-.8std,0.000426484,4.62E-05,0.000415034,0.003898495,0.003894557,0.00297393,0.107474061,0.011638276,0.10458858,0.061886687,0.061824182,0.047209671,0.109397188,0.011858507,0.139557449,1.736626524,0.188247962,2.215405829,0.006974189,0.007240392,0.004921024,0.457707217,0.455754897,0.459315668,1.289839533,1.223111942,1.383208161,0.044769977,0.078000749,0.041392458,2.400583331,0.149207237,2.526754513,15.4102586,1.607409729,21.2534177,0.156163536,0.093373643,0.067944533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
